time	defol
1933	12.1692028
1934	247.9165344
1935	817.5386963
1936	2020.053101
1937	3531.749023
1938	42.8848114
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	18.62059021
1949	113.5840302
1950	757.3646851
1951	7317.033691
1952	10886.9873
1953	13807.54199
1954	682.0545044
1955	1497.335938
1956	193.3034973
1957	262.0503235
1958	433.6962891
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	348.6830139
1967	461.0325012
1968	399.5269775
1969	685.4269409
1970	106.0854721
1971	169.9471893
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	2402.553467
1979	1836.256348
1980	2525.244629
1981	1689.328735
1982	580.2756348
1983	429.6007996
1984	62.6278038
1985	10.40402603
1986	44.05669403
1987	80.96198273
1988	6514.421875
1989	7448.129395
1990	7412.020996
1991	4040.458252
1992	671.6414795
1993	0
1994	0
1995	3.690524101
1996	0
1997	0
1998	4.899209499
1999	159.4131012
2000	759.7671509
2001	2998.172852
2002	2984.186279
2003	911.9645386
2004	4.261060238
2005	0
2006	0.802290022
2007	6.729725838
2008	9.522415161
2009	12.06842422
2010	28.59721756
2011	24.85884476
2012	111.2047577
